,category,score
0,governance,score: 78.57142857142857 +/- 21.428571428571427
1,map,score: 41.66666666666667 +/- 41.66666666666667
2,measure,score: 75.0 +/- 25.0
3,manage,score: 81.25 +/- 18.75
