,category,score
0,governance,score: 33.33333333333333 +/- 66.66666666666666
1,map,score: 33.333333333333336 +/- 33.33333333333333
2,measure,score: 80.0 +/- 20.0
3,manage,score: 85.71428571428571 +/- 14.285714285714285
